order_id,order_date,customer_id,region,product,category,unit_price,unit_cost,quantity,discount,shipping_cost,gross_sales,revenue,cost,profit,month,discount_band
O00302,2025-01-01,C2012,South,Pen Set,Stationery,250,110,1,0.0,70,250,250.0,180,70.0,2025-01,None
O00741,2025-01-01,C1145,South,Pen Set,Stationery,250,110,1,0.2,40,250,200.0,150,50.0,2025-01,High (>10%)
O00906,2025-01-01,C1228,East,Notebook,Stationery,150,65,4,0.2,70,600,480.0,330,150.0,2025-01,High (>10%)
O00984,2025-01-01,C1662,South,Notebook,Stationery,150,65,1,0.0,40,150,150.0,105,45.0,2025-01,None
O01006,2025-01-01,C1449,North,Backpack,Accessories,1800,850,2,0.2,150,3600,2880.0,1850,1030.0,2025-01,High (>10%)
O01363,2025-01-01,C0355,North,Keyboard,Electronics,1800,1000,1,0.1,70,1800,1620.0,1070,550.0,2025-01,Low (1-10%)
O01754,2025-01-01,C0066,North,Office Chair,Furniture,6500,4300,4,0.3,40,26000,18200.0,17240,960.0,2025-01,High (>10%)
O02283,2025-01-01,C0842,South,Keyboard,Electronics,1800,1000,2,0.1,70,3600,3240.0,2070,1170.0,2025-01,Low (1-10%)
O02838,2025-01-01,C1154,West,Backpack,Accessories,1800,850,2,0.1,70,3600,3240.0,1770,1470.0,2025-01,Low (1-10%)
O03106,2025-01-01,C0746,East,Keyboard,Electronics,1800,1000,4,0.0,100,7200,7200.0,4100,3100.0,2025-01,None
O03284,2025-01-01,C2288,North,Laptop,Electronics,50000,41000,2,0.0,100,100000,100000.0,82100,17900.0,2025-01,None
O04887,2025-01-01,C1167,West,Notebook,Stationery,150,65,4,0.0,150,600,600.0,410,190.0,2025-01,None
O04964,2025-01-01,C0436,South,Headphones,Electronics,2500,1350,1,0.0,100,2500,2500.0,1450,1050.0,2025-01,None
O05080,2025-01-01,C0643,South,Desk,Furniture,9000,6300,4,0.0,40,36000,36000.0,25240,10760.0,2025-01,None
O00057,2025-01-02,C1421,East,Desk,Furniture,9000,6300,1,0.0,100,9000,9000.0,6400,2600.0,2025-01,None
O00076,2025-01-02,C0712,North,Office Chair,Furniture,6500,4300,1,0.2,150,6500,5200.0,4450,750.0,2025-01,High (>10%)
O00229,2025-01-02,C1397,West,Desk,Furniture,9000,6300,3,0.0,40,27000,27000.0,18940,8060.0,2025-01,None
O00358,2025-01-02,C0929,East,Backpack,Accessories,1800,850,3,0.0,150,5400,5400.0,2700,2700.0,2025-01,None
O00414,2025-01-02,C0990,West,Headphones,Electronics,2500,1350,3,0.0,70,7500,7500.0,4120,3380.0,2025-01,None
O00521,2025-01-02,C0239,West,Keyboard,Electronics,1800,1000,2,0.05,70,3600,3420.0,2070,1350.0,2025-01,Low (1-10%)
O01067,2025-01-02,C1922,South,Backpack,Accessories,1800,850,4,0.1,150,7200,6480.0,3550,2930.0,2025-01,Low (1-10%)
O01205,2025-01-02,C2497,East,Notebook,Stationery,150,65,4,0.05,150,600,570.0,410,160.0,2025-01,Low (1-10%)
O01212,2025-01-02,C0265,South,Pen Set,Stationery,250,110,2,0.0,70,500,500.0,290,210.0,2025-01,None
O01735,2025-01-02,C1743,North,Pen Set,Stationery,250,110,3,0.1,40,750,675.0,370,305.0,2025-01,Low (1-10%)
O02630,2025-01-02,C0779,East,Laptop,Electronics,50000,41000,1,0.3,100,50000,35000.0,41100,-6100.0,2025-01,High (>10%)
O03381,2025-01-02,C0113,West,Pen Set,Stationery,250,110,3,0.1,150,750,675.0,480,195.0,2025-01,Low (1-10%)
O03546,2025-01-02,C0221,East,Notebook,Stationery,150,65,4,0.0,40,600,600.0,300,300.0,2025-01,None
O04312,2025-01-02,C2435,East,Pen Set,Stationery,250,110,3,0.3,100,750,525.0,430,95.0,2025-01,High (>10%)
O04356,2025-01-02,C1430,South,Pen Set,Stationery,250,110,3,0.05,70,750,712.5,400,312.5,2025-01,Low (1-10%)
O04366,2025-01-02,C1274,North,Pen Set,Stationery,250,110,4,0.0,100,1000,1000.0,540,460.0,2025-01,None
O04456,2025-01-02,C0408,South,Laptop,Electronics,50000,41000,3,0.2,40,150000,120000.0,123040,-3040.0,2025-01,High (>10%)
O05151,2025-01-02,C0513,North,Headphones,Electronics,2500,1350,1,0.0,70,2500,2500.0,1420,1080.0,2025-01,None
O05493,2025-01-02,C1742,West,Headphones,Electronics,2500,1350,3,0.0,70,7500,7500.0,4120,3380.0,2025-01,None
O00155,2025-01-03,C1635,South,Office Chair,Furniture,6500,4300,3,0.05,100,19500,18525.0,13000,5525.0,2025-01,Low (1-10%)
O00878,2025-01-03,C2136,West,Notebook,Stationery,150,65,4,0.0,100,600,600.0,360,240.0,2025-01,None
O00926,2025-01-03,C1788,West,Backpack,Accessories,1800,850,4,0.0,70,7200,7200.0,3470,3730.0,2025-01,None
O01727,2025-01-03,C0219,East,Backpack,Accessories,1800,850,4,0.1,100,7200,6480.0,3500,2980.0,2025-01,Low (1-10%)
O01989,2025-01-03,C1935,North,Headphones,Electronics,2500,1350,3,0.1,100,7500,6750.0,4150,2600.0,2025-01,Low (1-10%)
O02312,2025-01-03,C1861,South,Laptop,Electronics,50000,41000,4,0.0,40,200000,200000.0,164040,35960.0,2025-01,None
O02562,2025-01-03,C1797,South,Keyboard,Electronics,1800,1000,4,0.2,100,7200,5760.0,4100,1660.0,2025-01,High (>10%)
O02871,2025-01-03,C1065,North,Keyboard,Electronics,1800,1000,1,0.05,40,1800,1710.0,1040,670.0,2025-01,Low (1-10%)
O02989,2025-01-03,C0041,West,Backpack,Accessories,1800,850,2,0.1,40,3600,3240.0,1740,1500.0,2025-01,Low (1-10%)
