order_id,order_date,customer_id,region,product,category,unit_price,unit_cost,quantity,discount,shipping_cost
O00001,2025-08-15,C1270, west ,Laptop,Electronics,50000,41000,1,0.0,40
O00002,2025-10-30,C1139, north ,Pen Set,Stationery,250,110,2,0.2,150
O00003,2025-08-22,C0182, south ,Notebook,Stationery,150,65,4,0.3,70
O00004,2025-08-05,C0298, north ,Office Chair,Furniture,6500,4300,1,0.05,100
O00005,2025-06-20,C1489, north ,Office Chair,Furniture,6500,4300,1,0.2,150
O00006,2025-03-31,C1423, east ,Pen Set,Stationery,250,110,2,0.2,40
O00007,2025-04-13,C1388, north ,Laptop,Electronics,50000,41000,3,0.3,70
O00008,2025-09-30,C0392, south ,Notebook,Stationery,150,65,4,0.05,40
O00009,2025-01-26,C1275, east ,Headphones,Electronics,2500,1350,3,0.0,70
O00010,2025-01-31,C0153, north ,Laptop,Electronics,50000,41000,2,0.0,70
O00011,2025-05-25,C0361, south ,Desk,Furniture,9000,6300,4,0.2,150
O00012,2025-10-10,C1247, east ,Backpack,Accessories,1800,850,1,0.2,70
O00013,2025-08-28,C1543, west ,Notebook,Stationery,150,65,4,0.05,100
O00014,2025-08-04,C1639, north ,Pen Set,Stationery,250,110,2,0.0,40
O00015,2025-07-14,C2455, west ,Notebook,Stationery,150,65,2,0.0,70
O00016,2025-02-10,C2136, west ,Pen Set,Stationery,250,110,4,0.1,150
O00017,2025-05-02,C0950, east ,Desk,Furniture,9000,6300,3,0.3,100
O00018,2025-01-30,C1958, south ,Headphones,Electronics,2500,1350,2,0.05,70
O00019,2025-10-04,C0240, east ,Pen Set,Stationery,250,110,2,0.1,150
O00020,2025-10-02,C2144, west ,Office Chair,Furniture,6500,4300,2,0.1,150
O00021,2025-04-05,C0967,,Desk,Furniture,9000,6300,4,0.2,70
O00022,2025-04-17,C1901,,Keyboard,Electronics,1800,1000,1,0.2,150
O00023,2025-04-26,C2427,,Headphones,Electronics,2500,1350,1,0.0,40
O00024,2025-11-21,C1759,,Backpack,Accessories,1800,850,2,0.1,70
O00025,2025-06-28,C2301,,Pen Set,Stationery,250,110,2,0.2,150
O00026,2025-10-06,C0026,,Notebook,Stationery,150,65,4,0.3,150
O00027,2025-06-13,C0427,,Office Chair,Furniture,6500,4300,1,0.1,150
O00028,2025-09-12,C1566,,Pen Set,Stationery,250,110,4,0.0,40
O00029,2025-07-12,C1352,,Desk,Furniture,9000,6300,4,0.1,40
O00030,2025-04-12,C0302,,Office Chair,Furniture,6500,4300,2,0.1,100
O00031,2025-11-16,C1796,South,Office Chair,Furniture,6500,4300,4,0.0,40
O00032,2025-09-16,C0147,West,Headphones,Electronics,2500,1350,4,0.3,150
O00033,2025-10-08,C2477,South,Laptop,Electronics,50000,41000,4,0.0,150
O00034,2025-12-13,C0392,West,Desk,Furniture,9000,6300,2,0.3,150
O00035,2025-04-01,C1114,South,Backpack,Accessories,1800,850,2,0.05,150
O00036,2025-02-03,C2059,North,Laptop,Electronics,50000,41000,4,0.0,40
O00037,2025-08-01,C1286,West,Pen Set,Stationery,250,110,2,0.1,150
O00038,2025-04-30,C1860,South,Pen Set,Stationery,250,110,1,0.1,70
O00039,2025-06-09,C1760,South,Keyboard,Electronics,1800,1000,3,0.2,40
O00040,2025-03-27,C2372,North,Notebook,Stationery,150,65,2,0.1,70
O00041,2025-05-26,C1160,North,Headphones,Electronics,2500,1350,4,0.0,150
O00042,2025-05-24,C2448,North,Pen Set,Stationery,250,110,4,0.3,150
O00043,2025-05-08,C1292,South,Notebook,Stationery,150,65,1,0.1,100
