month,orders,revenue,profit,mom_growth_pct
2025-01,513,10178205.0,1654205.0,
2025-02,460,8769985.0,1219805.0,-13.835641942759063
2025-03,503,10893182.5,1647132.5,24.209819058983566
2025-04,527,11764732.5,1712117.5,8.00087577712023
2025-05,478,8709602.5,1438677.5,-25.968546246164117
2025-06,515,10066540.0,1678445.0,15.579786792795653
2025-07,521,10752602.5,1624872.5,6.815276152481389
2025-08,538,10413720.0,1606015.0,-3.1516323606308334
2025-09,493,9388547.5,1407952.5,-9.844440795412206
2025-10,505,9988340.0,1574320.0,6.388554779107205
2025-11,467,10674565.0,1593135.0,6.870260724004189
2025-12,480,8968892.5,1379692.5,-15.978847850006066
