product,discount_band,orders,revenue,profit,margin_pct
Backpack,High (>10%),188,638640.0,229540.0,35.94200175372667
Backpack,Low (1-10%),368,1509390.0,702010.0,46.50951708968524
Backpack,None,187,862200.0,436910.0,50.6738575736488
Desk,High (>10%),201,3657600.0,270360.0,7.391732283464567
Desk,Low (1-10%),336,6935850.0,1644860.0,23.71533409747904
Desk,None,230,5202000.0,1540630.0,29.61610918877355
Headphones,High (>10%),190,928000.0,250170.0,26.957974137931036
Headphones,Low (1-10%),349,2063375.0,824675.0,39.96728660568244
Headphones,None,239,1522500.0,679930.0,44.65878489326765
Keyboard,High (>10%),193,658620.0,163490.0,24.823114998026178
Keyboard,Low (1-10%),329,1376820.0,516970.0,37.548118127278805
Keyboard,None,220,977400.0,414180.0,42.3756906077348
Laptop,High (>10%),189,17420000.0,-1415540.0,-8.125947187141216
Laptop,Low (1-10%),321,35782500.0,3896620.0,10.889736603088101
Laptop,None,229,29300000.0,5254040.0,17.931877133105804
Notebook,High (>10%),186,53730.0,6565.0,12.218499906942117
Notebook,Low (1-10%),312,108727.5,29677.5,27.295302476374424
Notebook,None,206,76800.0,25440.0,33.125
Office Chair,High (>10%),189,2300350.0,283650.0,12.330732279870455
Office Chair,Low (1-10%),355,5258500.0,1464290.0,27.846153846153847
Office Chair,None,217,3503500.0,1166110.0,33.28414442700157
Pen Set,High (>10%),212,105900.0,25670.0,24.239848914069878
Pen Set,Low (1-10%),325,188512.5,69752.5,37.001525097805185
Pen Set,None,229,138000.0,56370.0,40.84782608695652
